,clust,c_avg,c_std,c_max,d_avg,d_std
46059,36,7.7,4.12431812546,14,36.7,11.2609946275
46060,30,1.0,0.0,1,3.0,0.0
46061,29,5.3,2.83019433962,8,8.4,2.7276363394
46062,30,19.0,5.56776436283,27,51.9,8.91571646027
46063,35,0.0,0.0,0,1.0,0.0
46064,32,2.7,0.458257569496,3,21.7,2.00249843945
46065,32,3.0,0.0,3,12.0,0.0
46066,34,1.7,0.458257569496,2,10.6,0.916515138991
46067,31,3.3,0.458257569496,4,8.3,0.458257569496
46068,30,7.4,0.916515138991,9,31.5,2.53968501984
46069,29,3.0,1.54919333848,6,10.8,1.24899959968
46070,32,0.0,0.0,0,4.0,0.0
46071,36,5.7,1.55241746963,8,15.3,2.72213151776
46072,34,10.2,4.72863616701,21,46.1,16.9555300713
46073,28,0.0,0.0,0,2.0,0.0
46074,29,0.0,0.0,0,1.0,0.0
46075,30,4.0,1.48323969742,8,19.4,3.03973683071
46076,30,1.0,0.0,1,2.0,0.0
46077,29,1.0,0.0,1,2.0,0.0
46078,32,7.6,3.90384425919,16,19.5,4.96487663492
46079,32,7.4,4.02988833592,12,21.7,9.24175308045
46080,31,0.0,0.0,0,1.0,0.0
46081,31,4.8,1.72046505341,8,10.7,2.32594066992
46082,33,0.0,0.0,0,2.0,0.0
46083,35,1.5,0.5,2,5.0,0.0
46084,30,13.7,1.73493515729,15,28.9,1.37477270849
46085,31,0.0,0.0,0,1.0,0.0
46086,34,0.0,0.0,0,1.0,0.0
46087,30,1.5,1.5,6,7.5,1.5
46088,34,0.0,0.0,0,1.0,0.0
46089,29,2.0,0.0,2,6.0,0.0
46090,35,1.4,0.489897948557,2,17.8,1.46969384567
46091,29,1.2,0.4,2,4.0,0.0
46092,29,0.0,0.0,0,2.0,0.0
46093,29,2.8,2.4,7,8.2,2.85657137142
46094,31,0.0,0.0,0,1.0,0.0
46095,31,0.0,0.0,0,1.0,0.0
46096,33,3.2,0.4,4,12.0,0.0
46097,32,1.0,0.0,1,4.0,0.0
46098,35,5.5,3.1384709653,11,15.8,4.68614980554
46099,31,9.8,2.63818119165,15,25.0,2.683281573
46100,31,5.5,1.68819430161,10,14.4,1.8547236991
46101,34,2.0,0.0,2,16.6,5.38887743412
46102,30,8.0,0.894427191,10,18.2,3.86781592116
46103,31,2.0,0.0,2,6.0,0.0
46104,32,0.0,0.0,0,1.0,0.0
46105,31,2.9,0.3,3,9.0,0.0
46106,31,7.3,4.31393092202,15,16.4,4.52106182218
46107,29,5.1,1.64012194669,8,12.2,1.46969384567
46108,30,3.5,0.5,4,10.0,0.0
46109,33,4.7,1.84661853126,8,17.8,5.11468474102
46110,33,1.0,0.0,1,4.0,0.0
46111,35,8.0,2.04939015319,10,15.9,3.7
46112,33,4.0,0.0,4,14.0,0.0
46113,27,0.0,0.0,0,1.0,0.0
46114,33,1.0,0.0,1,4.0,0.0
46115,32,2.0,0.0,2,11.0,0.0
46116,33,27.4,15.4932243255,50,65.1,17.9969441851
46117,30,0.0,0.0,0,1.0,0.0
46118,32,0.0,0.0,0,1.0,0.0
46119,31,0.0,0.0,0,5.0,0.0
46120,30,4.3,0.458257569496,5,8.7,0.458257569496
46121,36,1.0,0.0,1,2.0,0.0
46122,32,1.0,0.0,1,2.0,0.0
46123,32,4.9,1.04403065089,6,20.5,0.921954445729
46124,30,0.0,0.0,0,1.0,0.0
46125,33,4.0,0.0,4,8.7,0.458257569496
46126,32,2.0,0.0,2,7.4,0.489897948557
46127,30,1.0,0.0,1,3.0,0.0
46128,35,0.0,0.0,0,1.0,0.0
46129,33,2.0,0.0,2,12.2,0.4
46130,26,0.0,0.0,0,1.0,0.0
46131,30,0.0,0.0,0,1.0,0.0
46132,33,5.4,1.2,6,17.6,3.2
46133,33,1.0,0.0,1,4.0,0.0
46134,30,0.0,0.0,0,9.0,0.0
46135,30,0.0,0.0,0,1.0,0.0
46136,31,1.0,0.0,1,3.0,0.0
46137,29,2.0,0.0,2,7.0,0.0
46138,29,2.8,0.4,3,5.0,1.61245154966
46139,29,3.3,0.640312423743,4,10.1,1.57797338381
46140,29,0.0,0.0,0,1.0,0.0
46141,31,0.0,0.0,0,4.0,0.0
46142,30,13.4,6.60605782597,29,32.8,8.1215762017
46143,32,0.0,0.0,0,1.0,0.0
46144,34,0.0,0.0,0,1.0,0.0
46145,31,0.0,0.0,0,7.0,0.0
46146,32,2.0,0.0,2,7.6,0.489897948557
46147,30,1.0,0.0,1,7.0,0.0
46148,30,0.0,0.0,0,3.0,0.0
46149,31,8.2,7.98498591107,31,33.1,19.5317689931
46150,33,1.0,0.0,1,5.0,0.0
46151,29,0.0,0.0,0,1.0,0.0
46152,31,0.0,0.0,0,1.0,0.0
46153,34,0.0,0.0,0,1.0,0.0
46154,32,1.0,0.0,1,2.0,0.0
46155,33,1.0,0.0,1,8.0,0.0
46156,32,1.1,0.3,2,4.1,0.3
46157,33,0.0,0.0,0,2.0,0.0
46158,29,1.0,0.0,1,6.0,0.0
46159,36,3.0,0.0,3,13.0,0.0
46160,31,0.0,0.0,0,1.0,0.0
46161,29,0.0,0.0,0,1.0,0.0
46162,33,1.7,0.458257569496,2,6.0,0.0
46163,28,10.6,5.00399840128,17,24.0,4.40454310911
46164,33,1.0,0.0,1,5.1,0.3
46165,33,2.0,0.0,2,4.0,0.0
46166,28,3.9,0.3,4,12.9,0.3
46167,27,1.2,0.4,2,9.2,0.4
46168,28,1.0,0.0,1,4.0,0.0
46169,29,3.0,0.0,3,6.8,1.16619037897
46170,31,0.0,0.0,0,1.0,0.0
46171,33,0.0,0.0,0,1.0,0.0
46172,31,0.0,0.0,0,1.0,0.0
46173,31,3.4,1.68522995464,7,8.8,1.24899959968
46174,34,0.0,0.0,0,5.0,0.0
46175,31,2.6,0.489897948557,3,9.0,0.0
46176,34,0.0,0.0,0,4.0,0.0
46177,34,1.0,0.0,1,9.0,0.0
46178,29,9.0,0.0,9,11.9,0.830662386292
46179,30,1.0,0.0,1,4.0,0.0
46180,36,5.0,1.09544511501,6,8.8,1.46969384567
46181,35,15.1,6.41014820421,25,39.8,5.26877594893
46182,29,0.0,0.0,0,1.0,0.0
46183,32,2.0,0.0,2,5.6,0.489897948557
46184,33,3.6,0.489897948557,4,15.6,1.2
46185,31,5.4,1.95959179423,7,9.2,0.979795897113
46186,29,4.5,0.5,5,13.8,1.46969384567
46187,28,3.3,0.458257569496,4,11.3,0.458257569496
46188,30,1.8,0.4,2,8.0,0.0
46189,28,0.0,0.0,0,5.0,0.0
46190,31,0.0,0.0,0,3.0,0.0
46191,34,2.0,0.0,2,4.0,0.0
46192,31,3.9,0.7,5,6.9,0.3
46193,30,0.0,0.0,0,1.0,0.0
46194,34,1.6,0.489897948557,2,4.0,0.0
46195,33,1.2,0.4,2,5.4,0.489897948557
46196,33,1.6,0.489897948557,2,8.0,0.0
46197,29,0.0,0.0,0,1.0,0.0
46198,30,2.0,0.0,2,3.0,0.0
46199,30,0.0,0.0,0,1.0,0.0
